Day,Workout,Sets/Reps
Monday,Warm-up: 5-10 min light cardio
Monday,Biceps Curls (Dumbbells),3 sets of 12 reps
Monday,Tricep Dips,3 sets of 12 reps
Monday,Hammer Curls,3 sets of 10-12 reps
Monday,Overhead Triceps Extension,3 sets of 12 reps
Tuesday,Warm-up: 5-10 min dynamic stretches,
Tuesday,Squats (Bodyweight/Dumbbell),3 sets of 15 reps
Tuesday,Lunges (Each Leg),3 sets of 12 reps
Tuesday,Leg Press,3 sets of 10-12 reps
Tuesday,Calf Raises,3 sets of 20 reps
Wednesday,Rest or Active Recovery,
Thursday,Warm-up: 5-10 min rowing/light cardio,
Thursday,Pull-ups/Assisted Pull-ups,3 sets of 6-10 reps
Thursday,Lat Pulldowns,3 sets of 10-12 reps
Thursday,Bent-over Rows,3 sets of 10 reps
Thursday,Deadlifts (Lightweight),3 sets of 8 reps
Friday,Warm-up: 5-10 min light cardio,
Friday,Preacher Curls,3 sets of 10-12 reps
Friday,Skull Crushers,3 sets of 12 reps
Friday,Concentration Curls,3 sets of 12 reps (each arm)
Friday,Tricep Kickbacks,3 sets of 12 reps
Saturday,Warm-up: 5-10 min dynamic stretches,
Saturday,Bulgarian Split Squats,3 sets of 10 reps (each leg)
Saturday,Step-ups with Dumbbells,3 sets of 12 reps
Saturday,Romanian Deadlifts,3 sets of 10 reps
Saturday,Hip Thrusts,3 sets of 12 reps
Sunday,Rest or Active Recovery,
